Город,Регион,Год,Численность
Архангельск,Свердловская область,1916,46750
Архангельск,Свердловская область,1840,9600
Архангельск,Свердловская область,1811,11000
Архангельск,Свердловская область,1856,15200
Архангельск,Свердловская область,1863,20200
Архангельск,Свердловская область,1897,20900
Архангельск,Свердловская область,1913,35400
Архангельск,Свердловская область,1914,36900
Архангельск,Свердловская область,1923,53300
Архангельск,Свердловская область,1926,75500
Архангельск,Свердловская область,1931,128600
Архангельск,Свердловская область,1956,238000
Архангельск,Свердловская область,1959,256300
Архангельск,Свердловская область,1962,276000
Архангельск,Свердловская область,1939,284600
Архангельск,Свердловская область,1967,310000
Архангельск,Свердловская область,1970,342600
Архангельск,Свердловская область,2010,348400
Архангельск,Свердловская область,2007,348600
Архангельск,Свердловская область,2008,348700
Архангельск,Свердловская область,2011,348800
Архангельск,Свердловская область,2012,349500
Архангельск,Свердловская область,2018,349700
Архангельск,Свердловская область,2006,349800
Архангельск,Свердловская область,2014,350400
Архангельск,Свердловская область,2015,351000
Архангельск,Свердловская область,2013,351000
Архангельск,Свердловская область,2016,351200
Архангельск,Свердловская область,2017,351500
Архангельск,Свердловская область,2005,351600
Архангельск,Свердловская область,2003,356100
Архангельск,Свердловская область,2001,357500
Архангельск,Свердловская область,2000,361800
Архангельск,Свердловская область,1973,362000
Архангельск,Свердловская область,1998,367900
Архангельск,Свердловская область,1976,371000
Архангельск,Свердловская область,1996,372100
Архангельск,Свердловская область,1997,378200
Архангельск,Свердловская область,1995,381900
Архангельск,Свердловская область,1979,385000
Архангельск,Свердловская область,1982,395000
Архангельск,Свердловская область,1986,412000
Архангельск,Свердловская область,1992,413600
Архангельск,Свердловская область,1989,415900
Пенза,Свердловская область,1916,86800
Пенза,Свердловская область,1920,85070
Пенза,Свердловская область,1811,14800
Пенза,Свердловская область,1840,19500
Пенза,Свердловская область,1856,23800
Пенза,Свердловская область,1863,27300
Пенза,Свердловская область,1897,60000
Пенза,Свердловская область,1913,72000
Пенза,Свердловская область,1914,78900
Пенза,Свердловская область,1923,79300
Пенза,Свердловская область,1926,90800
Пенза,Свердловская область,1931,105100
Пенза,Свердловская область,1939,159800
Пенза,Свердловская область,1956,231000
Пенза,Свердловская область,1959,255500
Пенза,Свердловская область,1962,286000
Пенза,Свердловская область,1967,333000
Пенза,Свердловская область,1970,373700
Пенза,Свердловская область,1973,404000
Пенза,Свердловская область,1976,432000
Пенза,Свердловская область,1979,482900
Пенза,Свердловская область,2010,506300
Пенза,Свердловская область,2008,507800
Пенза,Свердловская область,1982,508000
Пенза,Свердловская область,2007,509200
Пенза,Свердловская область,2006,510000
Пенза,Свердловская область,2005,512900
Пенза,Свердловская область,2011,517300
Пенза,Свердловская область,2003,518000
Пенза,Свердловская область,2013,519900
Пенза,Свердловская область,2012,520000
Пенза,Свердловская область,2014,521300
Пенза,Свердловская область,2015,522800
Пенза,Свердловская область,2018,523600
Пенза,Свердловская область,2017,523700
Пенза,Свердловская область,2016,524600
Пенза,Свердловская область,2001,529500
Пенза,Свердловская область,1986,532000
Пенза,Свердловская область,2000,532200
Пенза,Свердловская область,1998,534000
Пенза,Свердловская область,1996,534600
Пенза,Свердловская область,1989,542600
Пенза,Свердловская область,1992,552300
Нижний Новгород,Свердловская область,1916,112900
Нижний Новгород,Свердловская область,1920,103946
Нижний Новгород,Свердловская область,1923,147072
Нижний Новгород,Свердловская область,1945,691000
Нижний Новгород,Свердловская область,1811,14400
Нижний Новгород,Свердловская область,1840,31900
Нижний Новгород,Свердловская область,1856,35800
Нижний Новгород,Свердловская область,1863,41500
Нижний Новгород,Свердловская область,1897,90100
Нижний Новгород,Свердловская область,1913,111400
Нижний Новгород,Свердловская область,1914,111600
Нижний Новгород,Свердловская область,1926,221500
Нижний Новгород,Свердловская область,1931,350300
Нижний Новгород,Свердловская область,1939,643700
Нижний Новгород,Свердловская область,1956,876000
Нижний Новгород,Свердловская область,1959,942000
Нижний Новгород,Свердловская область,1962,1025000
Нижний Новгород,Свердловская область,1967,1120000
Нижний Новгород,Свердловская область,1970,1170300
Нижний Новгород,Свердловская область,1973,1238000
Нижний Новгород,Свердловская область,2011,1250600
Нижний Новгород,Свердловская область,2019,1253000
Нижний Новгород,Свердловская область,2012,1254600
Нижний Новгород,Свердловская область,2018,1259000
Нижний Новгород,Свердловская область,2013,1259900
Нижний Новгород,Свердловская область,2017,1261700
Нижний Новгород,Свердловская область,2014,1263900
Нижний Новгород,Свердловская область,2016,1266900
Нижний Новгород,Свердловская область,2015,1267800
Нижний Новгород,Свердловская область,2010,1271000
Нижний Новгород,Свердловская область,2008,1274700
Нижний Новгород,Свердловская область,2007,1278300
Нижний Новгород,Свердловская область,2006,1283600
Нижний Новгород,Свердловская область,2005,1289500
Нижний Новгород,Свердловская область,1976,1305000
Нижний Новгород,Свердловская область,2003,1311300
Нижний Новгород,Свердловская область,1979,1344500
Нижний Новгород,Свердловская область,2001,1346700
Нижний Новгород,Свердловская область,2000,1357000
Нижний Новгород,Свердловская область,1998,1367700
Нижний Новгород,Свердловская область,1982,1373000
Нижний Новгород,Свердловская область,1996,1385900
Нижний Новгород,Свердловская область,1986,1409000
Нижний Новгород,Свердловская область,1989,1438100
