,Регион,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Белгородская область,1085,1024,959,961,921,1017,883,821,848,915,924,906
1,Брянская область,1923,1595,1535,1562,1401,1419,1296,1184,1171,1177,1244,1164
2,Владимирская область,1846,1715,1565,1341,1353,1536,1377,1314,1242,1208,1250,1169
3,Воронежская область,1176,1157,1185,1303,1445,1683,1472,1395,1255,1319,1264,1265
4,Ивановская область,1841,1682,1559,1418,1454,1480,1408,1558,1372,1358,1344,1179
5,Калужская область,1772,1487,1457,1550,1657,1796,1596,1738,1670,1537,1696,1573
6,Костромская область,1529,1428,1288,1181,1234,1437,1354,1366,1229,1274,1406,1377
7,Курская область,1631,1505,1344,1176,1180,1267,1086,1057,1087,1176,1238,1206
8,Липецкая область,1407,1330,1166,1148,1067,1246,1070,1098,1068,1054,1145,1131
9,Московская область,1542,1534,1473,1444,1227,1201,1189,1136,1082,1038,996,994
10,Орловская область,1810,1671,1753,1618,1548,1558,1234,1172,1191,1187,1133,1080
11,Рязанская область,940,862,847,861,857,920,845,847,830,910,890,812
12,Смоленская область,2193,1911,1782,1548,1443,1444,1435,1364,1314,1464,1549,1470
13,Тамбовская область,1326,1302,1127,1127,1103,1272,1171,1106,1154,1217,1274,1301
14,Тверская область,2306,2231,1966,1553,1565,1768,1619,1546,1510,1599,1675,1587
15,Тульская область,1062,979,924,838,819,880,801,837,896,870,869,1037
16,Ярославская область,1679,1455,1360,1211,1221,1712,1448,1407,1315,1394,1266,1264
17,Город Москва,1502,1402,1456,1413,1477,1577,1405,1132,1135,1148,1184,1160
18,Республика Карелия,2192,2274,1831,1768,2018,2503,2147,1801,1906,1967,2145,2180
19,Республика Коми,2317,2028,2067,2317,2437,2813,2239,2026,1967,1997,2023,1767
20,Ненецкий автономный округ,1953,1757,1427,1163,1491,1912,1737,1773,1951,1716,1666,1939
21,Архангельская область,2143,2141,1994,1843,1700,1989,1782,1711,1690,1707,1700,1515
22,Вологодская область,2063,2136,2013,2064,2066,2469,2173,1731,1509,1497,1463,1501
23,Калининградская область,1709,1540,1525,1472,1579,1673,1341,1747,1393,1512,1376,1345
24,Ленинградская область,1584,1376,1157,1124,1088,1134,979,1027,1210,1357,1531,1512
25,Мурманская область,2222,2108,1898,1757,1700,2449,1988,1686,1595,1599,1614,1597
26,Новгородская область,1912,1827,2068,1933,2093,2133,1957,1813,1777,1781,1848,1735
27,Псковская область,1917,1760,1621,1447,1383,1704,1479,1289,1240,1278,1406,1304
28,Город Санкт-Петербург,1219,1123,1069,1043,1069,1069,991,987,974,921,1161,1188
29,Республика Адыгея,1031,1007,899,873,892,1094,1023,885,906,1039,909,992
30,Республика Калмыкия,1459,1368,1347,1243,1042,1142,1062,1090,990,1007,1032,1058
31,Республика Крым,954,954,954,954,954,1456,1242,1135,1172,1097,1134,1084
32,Краснодарский край,1181,1191,1184,1151,1238,1347,1284,1215,1223,1285,1320,1403
33,Астраханская область,2553,2227,2036,1697,1551,1450,1364,1318,1318,1287,1380,1355
34,Волгоградская область,1783,1578,1544,1440,1436,1645,1528,1573,1520,1622,1526,1495
35,Ростовская область,1402,1330,1239,1225,1278,1472,1363,1397,1311,1440,1459,1383
36,Город Севастополь,1330,1330,1330,1330,1330,1930,1330,1133,952,988,1424,1431
37,Республика Дагестан,383,413,449,460,454,497,520,480,487,448,465,488
38,Республика Ингушетия,401,402,373,364,338,360,373,334,344,375,397,438
39,Кабардино-Балкарская Республика,1078,958,1018,1003,912,1000,887,778,766,867,859,874
40,Карачаево-Черкесская Республика,934,849,789,773,733,869,754,869,872,976,1001,932
41,Республика Северная Осетия-Алания,999,941,892,859,850,957,1000,1016,1024,1351,1148,1159
42,Чеченская Республика,324,301,277,257,247,242,263,279,235,267,222,221
43,Ставропольский край,1288,1238,1269,1207,1194,1293,1224,1131,1152,1239,1254,1213
44,Республика Башкортостан,1778,1684,1609,1288,1306,1744,1607,1500,1412,1361,1374,1289
45,Республика Марий Эл,1815,1584,1387,1205,1084,1221,1054,1074,1119,1132,1110,1118
46,Республика Мордовия,1054,961,965,1040,1102,1137,1051,985,956,997,1021,1055
47,Республика Татарстан,1513,1424,1328,1185,1153,1340,1239,1186,1122,1283,1386,1337
48,Удмуртская Республика,2157,1844,1804,1780,1772,1948,1729,1594,1667,1784,1851,1749
49,Чувашская Республика - Чувашия,1475,1456,1338,1145,1115,1269,1120,1035,957,1006,1056,1017
50,Пермский край,2790,2219,2441,2153,1973,2212,1903,1671,1604,1632,1508,1542
51,Кировская область,1666,1570,1644,1686,1713,2000,1684,1637,1576,1479,1465,1474
52,Нижегородская область,2483,2020,1700,1452,1187,1268,1239,1297,1282,1325,1304,1248
53,Оренбургская область,1732,1560,1438,1364,1388,1546,1369,1368,1318,1347,1381,1256
54,Пензенская область,1265,1116,1024,966,1000,1030,918,881,956,963,1008,1004
55,Самарская область,2115,1949,1889,1626,1584,1541,1377,1374,1294,1331,1384,1351
56,Саратовская область,1546,1321,1159,1142,1096,1200,1009,1163,1171,1182,1233,1203
57,Ульяновская область,1415,1323,1306,1200,1232,1314,1223,1084,1052,1011,1016,980
58,Курганская область,2740,2527,2348,2252,2391,2607,2266,2093,2044,2002,1833,1729
59,Свердловская область,2227,1787,1653,1599,1609,1669,1466,1347,1280,1334,1351,1258
60,Ханты-Мансийский автономный округ - Югра,2083,1892,1665,1532,1467,1445,1373,1376,1293,1257,1274,1263
61,Ямало-Ненецкий автономный округ,1796,1753,1702,1707,1680,1792,1492,1541,1437,1405,1423,1299
62,Тюменская область (без а/о),2589,2377,1990,2280,2047,2096,1858,1790,1735,1803,1675,1635
63,Челябинская область,2406,2200,2015,1933,1790,2016,1844,1948,1852,1901,1809,1864
64,Республика Алтай,2356,2268,2182,2084,2004,2451,2227,2134,2121,1967,2194,2194
65,Республика Тыва,1881,1744,1859,1927,2068,2649,3426,3663,2905,2708,2683,2663
66,Республика Хакасия,2183,2008,2054,1960,2589,2562,2056,2144,2035,1979,2016,2050
67,Алтайский край,2030,1900,1780,1903,1864,2054,1884,1693,1624,1566,1650,1652
68,Красноярский край,2470,2194,2038,2046,1960,2166,1991,1777,1596,1618,1675,1636
69,Иркутская область,2735,2428,2495,2370,2207,2223,1951,1911,1867,1907,1751,1634
70,Кемеровская область,2426,2487,2419,2333,2288,2314,2156,2106,1960,1985,1910,1863
71,Новосибирская область,2387,2034,1846,1775,1675,1917,1626,1596,1716,1806,1943,1672
72,Омская область,1691,1513,1540,1473,1471,1559,1488,1443,1365,1261,1242,1208
73,Томская область,2697,2114,2146,1918,1911,2141,1894,1741,1655,1637,1612,1558
