,Регион,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Алтайский край,0.73,0.729,0.731,0.729,0.733,0.735,0.738,0.756,0.769,0.748,0.796,0.805,0.805,0.822,0.831,0.834,0.834,0.824,0.838,0.84
1,Амурская область,0.714,0.711,0.725,0.73,0.728,0.726,0.731,0.744,0.759,0.765,0.789,0.803,0.818,0.817,0.82,0.828,0.831,0.84,0.84,0.844
2,Архангельская область,0.732,0.739,0.747,0.749,0.752,0.768,0.774,0.789,0.805,0.808,0.828,0.836,0.848,0.862,0.869,0.873,0.853,0.857,0.89,0.871
3,Астраханская область,0.741,0.748,0.743,0.747,0.753,0.758,0.76,0.77,0.779,0.797,0.808,0.812,0.824,0.843,0.863,0.864,0.865,0.869,0.886,0.9
4,Белгородская область,0.762,0.772,0.77,0.768,0.776,0.788,0.802,0.812,0.826,0.838,0.852,0.866,0.876,0.885,0.887,0.891,0.89,0.896,0.906,0.908
5,Брянская область,0.72,0.722,0.723,0.726,0.732,0.73,0.734,0.752,0.762,0.77,0.791,0.798,0.809,0.823,0.829,0.829,0.833,0.839,0.844,0.848
6,Владимирская область,0.724,0.725,0.727,0.729,0.734,0.732,0.743,0.756,0.766,0.77,0.795,0.8,0.811,0.824,0.832,0.832,0.835,0.843,0.851,0.853
7,Волгоградская область,0.745,0.745,0.747,0.75,0.758,0.765,0.778,0.785,0.809,0.811,0.81,0.822,0.83,0.843,0.85,0.859,0.854,0.859,0.867,0.871
8,Вологодская область,0.752,0.775,0.762,0.763,0.768,0.783,0.792,0.8,0.809,0.814,0.81,0.818,0.833,0.848,0.849,0.854,0.86,0.862,0.869,0.877
9,Воронежская область,0.736,0.746,0.742,0.752,0.756,0.755,0.763,0.771,0.785,0.796,0.817,0.813,0.834,0.854,0.859,0.864,0.868,0.873,0.882,0.885
10,Город Москва,0.855,0.864,0.852,0.846,0.866,0.873,0.896,0.907,0.92,0.929,0.964,0.931,0.937,0.94,0.944,0.946,0.949,0.952,0.96,0.959
11,Город Санкт-Петербург,0.783,0.779,0.797,0.798,0.809,0.817,0.833,0.848,0.866,0.877,0.904,0.887,0.901,0.911,0.919,0.921,0.922,0.935,0.936,0.951
12,Город Севастополь,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.793,0.82,0.832,0.835
13,Еврейская автономная область,0.69,0.697,0.701,0.702,0.705,0.705,0.717,0.734,0.745,0.748,0.762,0.786,0.795,0.799,0.792,0.797,0.794,0.801,0.824,0.824
14,Забайкальский край,0.687,0.698,0.699,0.702,0.709,0.709,0.713,0.73,0.748,0.762,0.782,0.79,0.823,0.815,0.822,0.821,0.816,0.822,0.836,0.834
15,Ивановская область,0.693,0.7,0.704,0.707,0.715,0.717,0.718,0.735,0.753,0.757,0.776,0.778,0.796,0.805,0.817,0.812,0.817,0.821,0.827,0.829
16,Иркутская область,0.727,0.737,0.737,0.74,0.739,0.744,0.755,0.776,0.791,0.793,0.811,0.822,0.841,0.842,0.848,0.858,0.859,0.865,0.877,0.883
17,Кабардино-Балкарская Республика,0.75,0.749,0.749,0.734,0.737,0.744,0.746,0.752,0.76,0.769,0.788,0.795,0.795,0.809,0.812,0.815,0.811,0.82,0.826,0.832
18,Калининградская область,0.718,0.727,0.722,0.722,0.719,0.725,0.738,0.758,0.784,0.792,0.812,0.821,0.835,0.847,0.849,0.852,0.85,0.866,0.874,0.878
19,Калужская область,0.726,0.726,0.732,0.734,0.745,0.749,0.752,0.763,0.778,0.791,0.811,0.82,0.838,0.852,0.857,0.855,0.854,0.863,0.874,0.879
20,Камчатский край,0.722,0.725,0.735,0.74,0.739,0.743,0.751,0.763,0.776,0.776,0.798,0.812,0.822,0.829,0.831,0.838,0.836,0.845,0.854,0.861
21,Карачаево-Черкесская Республика,0.726,0.729,0.731,0.736,0.732,0.743,0.749,0.762,0.775,0.783,0.8,0.785,0.795,0.812,0.816,0.817,0.813,0.817,0.825,0.829
22,Кемеровская область,0.723,0.73,0.733,0.734,0.736,0.756,0.76,0.771,0.784,0.799,0.812,0.825,0.836,0.838,0.838,0.842,0.845,0.848,0.862,0.867
23,Кировская область,0.728,0.736,0.736,0.733,0.732,0.737,0.742,0.752,0.767,0.774,0.792,0.808,0.82,0.827,0.833,0.841,0.842,0.849,0.857,0.856
24,Костромская область,0.72,0.728,0.73,0.728,0.73,0.733,0.74,0.756,0.771,0.775,0.792,0.806,0.816,0.835,0.841,0.842,0.839,0.843,0.849,0.854
25,Краснодарский край,0.751,0.757,0.752,0.753,0.759,0.763,0.784,0.807,0.797,0.807,0.828,0.831,0.842,0.857,0.865,0.866,0.863,0.868,0.879,0.885
26,Красноярский край,0.764,0.755,0.769,0.76,0.763,0.779,0.784,0.807,0.818,0.816,0.834,0.854,0.845,0.862,0.867,0.877,0.878,0.885,0.892,0.901
27,Курганская область,0.707,0.715,0.717,0.724,0.726,0.73,0.738,0.755,0.766,0.776,0.796,0.809,0.817,0.823,0.83,0.831,0.827,0.832,0.843,0.842
28,Курская область,0.736,0.741,0.743,0.749,0.754,0.766,0.771,0.781,0.795,0.801,0.823,0.839,0.849,0.86,0.868,0.871,0.872,0.873,0.879,0.881
29,Ленинградская область,0.722,0.72,0.727,0.731,0.731,0.74,0.748,0.76,0.768,0.778,0.805,0.809,0.823,0.836,0.84,0.839,0.848,0.855,0.862,0.87
30,Липецкая область,0.764,0.779,0.767,0.777,0.783,0.798,0.799,0.809,0.81,0.816,0.829,0.833,0.842,0.852,0.86,0.872,0.874,0.877,0.886,0.893
31,Магаданская область,0.733,0.731,0.744,0.776,0.774,0.765,0.776,0.785,0.79,0.798,0.817,0.839,0.846,0.86,0.869,0.87,0.882,0.893,0.897,0.902
32,Московская область,0.746,0.737,0.743,0.743,0.748,0.754,0.767,0.781,0.794,0.806,0.82,0.82,0.84,0.846,0.854,0.857,0.867,0.873,0.882,0.887
33,Мурманская область,0.742,0.765,0.756,0.75,0.745,0.762,0.776,0.782,0.796,0.797,0.809,0.831,0.834,0.848,0.858,0.857,0.858,0.864,0.869,0.87
34,Ненецкий автономный округ,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.892,0.893,0.895,0.897
35,Нижегородская область,0.755,0.746,0.76,0.758,0.754,0.757,0.763,0.784,0.79,0.801,0.818,0.82,0.835,0.843,0.851,0.854,0.851,0.863,0.873,0.874
36,Новгородская область,0.727,0.73,0.732,0.734,0.732,0.739,0.753,0.762,0.769,0.778,0.799,0.808,0.821,0.839,0.844,0.858,0.859,0.861,0.867,0.865
37,Новосибирская область,0.749,0.749,0.763,0.761,0.769,0.773,0.78,0.79,0.804,0.814,0.828,0.83,0.816,0.851,0.86,0.864,0.867,0.877,0.883,0.888
38,Омская область,0.743,0.743,0.755,0.758,0.77,0.794,0.792,0.798,0.802,0.815,0.834,0.84,0.854,0.859,0.867,0.87,0.868,0.872,0.879,0.882
39,Оренбургская область,0.751,0.763,0.759,0.758,0.763,0.778,0.785,0.797,0.811,0.813,0.831,0.842,0.853,0.861,0.867,0.866,0.865,0.87,0.876,0.886
40,Орловская область,0.757,0.758,0.769,0.767,0.769,0.768,0.773,0.781,0.792,0.797,0.815,0.823,0.835,0.844,0.854,0.853,0.856,0.861,0.869,0.871
41,Пензенская область,0.725,0.727,0.734,0.739,0.738,0.744,0.75,0.767,0.778,0.786,0.806,0.802,0.821,0.834,0.845,0.849,0.848,0.853,0.861,0.865
42,Пермский край,0.757,0.758,0.765,0.755,0.755,0.76,0.77,0.79,0.791,0.802,0.817,0.827,0.841,0.854,0.859,0.863,0.86,0.866,0.876,0.879
43,Приморский край,0.714,0.727,0.724,0.73,0.729,0.736,0.746,0.758,0.766,0.775,0.804,0.814,0.82,0.827,0.83,0.838,0.84,0.848,0.854,0.857
44,Псковская область,0.707,0.71,0.709,0.713,0.714,0.718,0.72,0.729,0.75,0.751,0.772,0.781,0.797,0.803,0.811,0.813,0.813,0.822,0.828,0.832
45,Республика Адыгея,0.724,0.73,0.724,0.723,0.718,0.725,0.732,0.742,0.759,0.767,0.795,0.799,0.81,0.824,0.83,0.831,0.825,0.832,0.842,0.848
46,Республика Алтай,0.708,0.714,0.718,0.71,0.707,0.712,0.708,0.718,0.737,0.748,0.763,0.777,0.795,0.802,0.807,0.814,0.812,0.835,0.826,0.828
47,Республика Башкортостан,0.772,0.78,0.777,0.774,0.783,0.786,0.792,0.805,0.807,0.815,0.827,0.832,0.843,0.856,0.826,0.854,0.852,0.859,0.865,0.874
48,Республика Бурятия,0.703,0.714,0.717,0.722,0.719,0.728,0.732,0.744,0.763,0.771,0.791,0.796,0.795,0.812,0.818,0.825,0.828,0.826,0.83,0.832
49,Республика Дагестан,0.736,0.724,0.733,0.726,0.732,0.747,0.761,0.766,0.78,0.788,0.81,0.802,0.802,0.815,0.825,0.836,0.831,0.839,0.844,0.847
50,Республика Ингушетия,0.691,0.719,0.7,0.662,0.678,0.687,0.695,0.704,0.744,0.759,0.762,0.79,0.782,0.81,0.824,0.832,0.825,0.824,0.833,0.837
51,Республика Калмыкия,0.751,0.75,0.737,0.761,0.738,0.744,0.732,0.731,0.755,0.763,0.783,0.782,0.797,0.815,0.819,0.83,0.829,0.845,0.853,0.857
