,Регион,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Белгородская область,392.5,593.3,657.6,717.5,1187.1,1554.5,2121.4,2762.3,3357.4,4070.2,5275.8,7082.8,9399.1,12748.9,14146.7,16992.8,18799.7,21659.5,23247,24750,28043,29799,30342,30778,32398,32884,35612
1,Брянская область,342.8,528.8,601.4,592.7,945.7,1312.1,1818.3,2452.4,3134.6,3720.4,4787.7,6171.1,7626.2,10083.4,11484.3,13358.4,15347.6,17469.4,18707,20595,23428,24006,25107,26658,28422,28636,31608
2,Владимирская область,317.7,473.2,577.3,593.5,994.5,1279.6,1665.9,2158.0,2842.0,3381.6,4107.5,5626.9,7014.9,9479.9,10827.5,12956.2,14312.2,16228.8,18058,19530,22712,22365,23554,23560,25391,25955,28489
3,Воронежская область,345.0,468.0,676.2,787.1,1186.0,1486.5,2039.7,2597.4,3391.2,4143.0,5398.0,6861.6,8306.6,10586.8,11999.4,13883.3,15908.5,18947.7,21683,24973,29366,29284,29498,30289,32022,32102,35100
4,Ивановская область,309.9,460.5,555.2,522.2,756.7,1037.6,1297.8,1778.4,2293.1,2858.8,3480.3,4456.9,5683.5,8343.1,9351.2,11123.5,13005.5,16014.7,17754,19832,22297,23676,24860,24503,25794,26284,28680
5,Калужская область,438.4,571.0,644.8,696.7,1028.5,1311.3,1782.1,2503.3,3339.8,4181.4,5343.4,6924.7,9185.5,11612.4,13379.8,15477.4,17556.9,20742.3,22243,24318,27434,28800,28716,29178,31417,32559,35028
6,Костромская область,398.7,533.9,620.3,619.0,1034.5,1438.9,1904.5,2515.7,3089.2,3815.5,4985.4,6397.5,7857.3,9607.9,10695.6,13314.8,14574.3,15867.1,16968,19112,21939,23174,24093,23716,25318,25786,28560
7,Курская область,313.4,463.2,595.5,644.7,1087.3,1464.9,1979.9,2698.5,3371.4,4233.0,5217.8,6751.0,8686.6,11523.9,12801.5,14685.1,16386.9,18865.6,19436,21860,25330,25355,26112,27279,29149,29791,32715
8,Липецкая область,377.1,620.9,692.7,739.5,1185.5,1772.0,2261.2,2776.2,3563.2,4430.5,5591.2,7610.7,9471.9,12085.1,14487.2,15935.8,16811.3,19829.1,21957,24420,27087,27934,28956,30025,32535,32534,35124
9,Московская область,392.0,579.6,734.3,900.6,1463.4,1823.9,2626.4,3546.0,4425.0,5821.1,7444.8,10515.0,14034.1,19046.8,20064.1,22641.0,25604.5,30572.3,32969,34589,38463,41276,42345,44742,47513,47301,53793
10,Орловская область,382.9,583.4,658.9,718.4,1102.9,1414.5,1963.2,2614.4,3225.3,3879.0,4856.5,5972.3,7324.9,10027.3,10926.5,13114.6,14824.3,16827.0,17252,19007,22105,23006,23979,24895,26184,26990,29846
11,Рязанская область,336.0,508.0,610.6,610.1,979.0,1265.2,1852.8,2530.9,3309.1,3638.8,4775.1,6133.4,8049.0,11214.8,11968.4,13886.3,14788.0,17652.3,18932,21340,23690,23799,24272,25444,26886,27328,30495
12,Смоленская область,372.5,556.7,662.4,722.3,1249.4,1720.2,2336.4,3003.5,3723.9,4429.0,5482.7,6722.8,8227.9,11222.5,12616.0,14546.0,15969.1,18305.0,18470,20482,23653,23614,24766,25985,27485,28256,30731
13,Тамбовская область,311.7,465.3,574.7,631.7,1112.4,1508.6,2072.0,2688.3,3416.2,4050.9,5292.4,6814.8,8514.7,11144.9,11970.2,13630.8,15150.6,17448.5,19685,21742,24865,25769,26058,26828,28154,27892,30241
14,Тверская область,351.0,480.1,549.7,596.9,970.8,1253.7,1689.6,2349.2,3020.6,3955.8,5606.1,7266.6,8542.9,10803.3,12185.0,13872.6,14943.4,17282.1,19268,20880,23672,24063,24353,25125,27212,27692,30528
15,Тульская область,398.8,549.5,710.3,695.7,1106.2,1486.0,2015.1,2619.8,3382.6,3988.9,4988.4,6564.1,8264.7,11227.0,13191.0,15349.5,16975.0,19339.8,19675,21936,25460,26815,27226,27212,28561,29396,32131
16,Ярославская область,472.8,629.3,729.6,798.0,1303.4,1804.2,2518.2,3354.2,4266.6,5094.6,6320.7,8263.5,10101.3,12815.8,13424.6,14490.6,15508.9,18605.4,20665,22848,26613,26768,27200,27072,28667,29527,33124
17,Город Москва,1710.3,2639.2,3200.3,3635.0,6003.3,7998.3,10282.0,12460.8,16826.6,20899.1,24013.9,28249.4,33314.8,31940.1,40071.6,44051.5,47318.9,48934.7,55937,55473,60535,62004,65471,69926,75891,78106,88831
18,Республика Карелия,690.5,949.2,1057.5,1077.0,1752.3,2313.2,2930.8,4061.0,4937.0,5809.2,7277.8,9127.6,10547.6,12833.8,14293.0,16045.7,17542.7,20057.8,22067,23005,25859,26247,27473,29150,30854,32596,35173
19,Республика Коми,694.8,1034.1,1330.0,1459.2,2225.5,3140.8,4862.1,6225.0,7476.7,9300.6,11452.3,13782.2,16760.7,19334.0,20085.0,22260.3,23924.9,27040.0,28724,29561,31221,31725,32310,34157,35428,36687,38880
20,Ненецкий автономный округ,0.0,0.0,1177.7,1306.7,1904.2,3426.3,5887.6,8621.1,14197.2,20122.2,21501.8,27276.5,38038.8,48930.2,49090.8,52270.1,54632.3,62322.6,66887,66981,72146,71350,73013,78549,81041,84171,86431
21,Архангельская область,518.6,693.5,822.8,840.1,1434.2,2139.5,3041.1,3956.5,4834.2,6119.4,7902.5,9625.8,11702.8,15004.5,17523.4,19608.8,21454.8,23141.8,23799,26643,29716,29837,30707,32091,33907,34857,37810
22,Вологодская область,505.0,709.1,890.7,884.7,1396.2,2022.8,2719.0,3481.3,4411.8,5246.4,6344.9,8681.9,10521.0,12229.7,12239.1,14115.1,15637.9,18248.3,18993,21792,24991,26602,25920,27012,28418,29682,31851
23,Калининградская область,375.7,507.2,589.0,756.6,1279.3,1843.3,2339.6,2716.1,3807.1,4692.5,6481.1,8917.5,11430.7,12919.9,14771.7,16040.1,16880.5,19456.3,20078,22620,25510,25663,26463,27549,29098,29621,32010
24,Ленинградская область,369.2,540.8,597.5,648.7,1007.6,1354.9,1868.7,2417.5,3052.3,4455.1,5686.5,8055.4,10201.2,11567.3,12537.7,14798.5,15931.8,17967.5,19873,21578,25541,28524,29668,31341,32371,33235,36847
25,Мурманская область,743.7,1078.5,1332.3,1558.9,2464.7,3550.1,4620.2,5892.5,7134.7,8366.5,10624.1,13020.1,15859.1,19615.2,22333.1,24046.5,25303.5,28932.5,31907,33783,36747,37359,39273,41588,44261,46621,51183
26,Новгородская область,437.8,709.2,765.2,951.0,1375.9,1807.5,2407.7,3008.5,3715.4,4363.3,5475.6,7205.9,8614.1,11653.3,13388.8,15598.9,16980.9,19546.5,20608,22964,25631,25285,25757,25616,26193,26431,29229
27,Псковская область,342.5,479.9,563.1,602.2,972.3,1374.8,1847.7,2735.0,3555.7,4293.6,4926.8,6422.5,7923.2,10336.4,11438.0,12797.6,14185.3,16293.6,17865,19697,21524,22032,23285,23880,25525,26444,29332
28,Город Санкт-Петербург,670.0,918.8,1015.1,1169.2,1820.3,2555.6,3425.8,4514.4,6851.2,9175.7,12263.7,13686.7,16214.2,16946.0,21552.8,24824.3,26068.8,27834.1,30498,33170,37428,39854,42338,45137,47472,49375,57745
29,Республика Адыгея,273.8,412.6,546.0,605.9,966.9,1385.3,1642.5,2166.9,2548.9,3080.3,3892.9,4731.0,5802.1,8047.0,10555.8,12278.7,14271.6,17071.4,18736,22078,23028,25081,26478,27590,29139,30320,34901
30,Республика Калмыкия,234.7,342.6,482.9,478.1,755.1,979.0,1545.5,1763.0,2100.2,2312.1,2391.9,3456.7,4375.2,5530.9,6953.5,7774.0,8829.4,10189.5,11673,12992,15276,15696,16261,17082,18508,19816,21319
31,Республика Крым,15664.0,15664.0,15664.0,15664.0,15664.0,15664.0,15664.0,15664.0,15664.0,15664.0,15664.0,15664.0,15664.0,15664.0,15664.0,15664.0,15664.0,15664.0,15664,15664,15664,17825,19818,21526,22366,23033,26357
32,Краснодарский край,356.1,572.8,670.0,687.2,1143.0,1563.4,2124.6,2856.8,3662.2,4378.9,5545.2,7193.1,9692.3,11906.2,13752.1,16892.1,18796.0,21685.8,25130,28094,31304,32857,33403,34861,36604,37352,43217
33,Астраханская область,324.3,526.9,664.3,725.2,1221.3,1778.6,2333.3,3058.0,3864.1,4559.4,5636.4,7035.0,8638.6,11066.9,13011.9,14697.2,16032.0,17789.4,19950,21980,23832,22841,22884,23770,24971,25206,26833
34,Волгоградская область,327.2,510.4,660.4,647.9,1118.0,1577.6,2163.0,2952.1,3802.9,4648.2,5908.1,7889.3,9409.8,10833.5,12530.7,13774.8,14519.4,16010.6,18067,19388,22103,21419,22037,22813,24160,24995,27677
35,Ростовская область,328.7,516.0,643.8,705.5,1211.9,1653.3,2270.6,3025.7,4023.9,5038.1,6359.7,7482.5,9538.8,12027.7,12800.0,14647.1,16010.3,18107.1,20516,22957,25825,26655,27741,29097,30866,31519,35041
36,Город Севастополь,17774.0,17774.0,17774.0,17774.0,17774.0,17774.0,17774.0,17774.0,17774.0,17774.0,17774.0,17774.0,17774.0,17774.0,17774.0,17774.0,17774.0,17774.0,17774,17774,17774,26239,28130,28834,30261,29969,33013
37,Республика Дагестан,181.7,247.6,337.1,360.9,602.3,861.3,1141.2,1534.0,2125.0,3311.2,4388.5,6112.1,7724.2,10541.1,13250.1,15678.3,18278.1,20729.9,21557,23299,26764,25669,26483,25757,27410,27666,30260
38,Республика Ингушетия,123.2,215.5,307.7,334.1,456.0,587.2,908.5,1170.7,1402.2,1757.5,2737.3,3568.8,4886.7,6909.2,8000.5,9630.0,11562.2,12321.6,13272,14681,15191,15739,15801,16163,16614,16877,18139
39,Кабардино-Балкарская Республика,253.7,372.5,443.8,481.1,812.6,1057.1,1465.7,2095.0,2571.4,3159.9,4190.1,5258.5,6902.0,8931.4,9985.6,11290.0,12636.2,13717.2,14982,16406,18976,19768,20439,20806,21474,22016,25929
40,Карачаево-Черкесская Республика,232.0,323.6,434.8,449.8,709.4,1039.5,1341.7,1999.4,2619.2,3343.7,4083.8,5196.3,6402.0,7918.1,9200.6,10878.0,11741.6,13388.2,14221,16308,17810,17638,17932,18099,18977,19101,20473
41,Республика Северная Осетия-Алания,312.6,435.1,561.0,613.5,1072.3,1472.8,1632.2,1961.0,2596.0,4085.8,4668.8,5976.7,7781.7,9847.5,9977.7,13192.9,13757.0,16164.9,17142,19257,21804,22220,22702,23332,24522,23963,25885
42,Чеченская Республика,11982.4,11982.4,11982.4,11982.4,11982.4,11982.4,11982.4,11982.4,11982.4,11982.4,11982.4,11982.4,11982.4,11982.4,11982.4,11982.4,14026.5,15274.2,18178,19752,22709,22859,22484,23200,24153,24625,26397
43,Ставропольский край,329.4,516.7,594.1,630.3,1041.5,1405.0,1766.5,2335.2,3071.8,3886.1,5116.5,6488.4,8122.4,9745.6,11244.5,13016.1,14439.9,17087.5,18800,20537,21244,20985,22485,23408,24393,24187,26190
44,Республика Башкортостан,325.7,499.9,626.8,694.9,1244.1,1736.3,2400.2,3133.8,4153.1,5156.6,6886.5,8903.6,11072.8,14245.4,16124.8,17498.9,19029.8,21267.5,23866,25745,27320,27849,28468,28972,30603,30409,32621
45,Республика Марий Эл,262.4,372.1,443.9,429.9,817.3,1067.8,1387.6,1813.1,2189.0,2566.6,3376.0,4896.5,6072.3,7825.4,9205.4,10335.7,11328.4,12532.2,14546,16471,18550,18859,19331,19811,20877,21271,23185
46,Республика Мордовия,285.3,412.0,517.4,518.5,839.9,1128.4,1570.2,2124.1,2719.9,3266.3,4102.9,4826.9,6060.4,8269.6,9522.2,11294.2,11948.0,13081.3,14029,15783,17588,17832,18255,18651,19748,20635,22906
47,Республика Татарстан,393.8,546.2,689.8,758.7,1244.2,1813.1,2471.8,3249.4,4273.1,5355.0,7383.5,9365.5,11566.9,14163.7,15892.5,18424.0,20222.6,24004.3,27006,29537,32404,32763,32436,33731,35733,35694,39679
