,Регион,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Белгородская область,475.2,478.0,494.5,465.9,451.6,424.7,422.5,415.8,472.6,507.6
1,Брянская область,681.6,652.0,693.3,634.4,606.6,582.2,577.9,567.3,626.5,692.2
2,Владимирская область,715.3,679.5,690.4,654.0,634.4,597.2,593.9,562.3,648.3,701.1
3,Воронежская область,573.8,576.3,597.7,561.5,537.2,481.3,474.5,474.5,526.4,605.6
4,Ивановская область,657.9,634.3,642.3,614.0,593.0,574.5,584.4,562.6,601.1,650.5
5,Калужская область,648.6,631.1,652.9,600.4,572.9,559.3,563.9,557.2,610.6,649.2
6,Костромская область,631.4,608.6,623.1,592.4,569.0,508.4,531.9,512.7,551.8,655.9
7,Курская область,649.3,630.9,637.4,614.7,606.0,539.6,535.6,535.4,595.7,646.3
8,Липецкая область,616.1,593.4,613.9,566.2,544.5,513.2,527.3,479.7,587.4,672.1
9,Московская область,565.6,551.7,552.2,495.3,480.6,449.5,439.7,434.3,507.9,541.2
10,Орловская область,632.7,607.8,656.1,625.3,594.5,548.7,562.4,507.9,616.9,629.1
11,Рязанская область,629.9,582.1,602.0,560.5,558.8,506.7,500.9,493.2,573.0,656.8
12,Смоленская область,693.4,685.3,689.7,661.5,644.0,585.6,589.7,563.4,638.8,704.1
13,Тамбовская область,605.3,604.6,594.2,564.4,555.8,497.6,509.8,495.3,554.3,603.4
14,Тверская область,747.8,736.3,748.9,723.3,703.6,636.0,634.2,598.4,663.0,742.9
15,Тульская область,719.5,682.1,674.7,660.0,629.0,589.3,571.1,559.6,632.8,667.4
16,Ярославская область,632.2,601.6,611.1,585.1,580.1,537.4,536.7,506.8,587.2,651.8
17,Город Москва,364.3,352.6,351.9,340.7,326.1,309.1,317.4,313.5,358.0,394.5
18,Республика Карелия,793.1,722.9,722.7,749.7,684.0,638.0,677.8,618.7,712.3,790.1
19,Республика Коми,721.8,682.4,700.1,701.1,691.1,602.4,607.7,608.3,624.0,691.5
