,Город,Регион,Год,Численность
0,Абаза,Республика Хакасия,1959,11600
1,Абаза,Республика Хакасия,1970,15200
2,Абаза,Республика Хакасия,1979,15800
3,Абаза,Республика Хакасия,1989,17600
4,Абаза,Республика Хакасия,1992,18000
5,Абаза,Республика Хакасия,1996,18500
6,Абаза,Республика Хакасия,2000,18700
7,Абаза,Республика Хакасия,2001,18700
8,Абаза,Республика Хакасия,2003,18100
9,Абаза,Республика Хакасия,2005,17500
10,Абаза,Республика Хакасия,2006,17300
11,Абаза,Республика Хакасия,2007,17300
12,Абаза,Республика Хакасия,2010,16900
13,Абаза,Республика Хакасия,2011,17100
14,Абаза,Республика Хакасия,2012,16700
15,Абаза,Республика Хакасия,2013,16500
16,Абаза,Республика Хакасия,2014,16200
17,Абаза,Республика Хакасия,2015,16000
18,Абаза,Республика Хакасия,2017,15600
19,Абаза,Республика Хакасия,2018,15300
20,Абаза,Республика Хакасия,2019,15100
21,Абаза,Республика Хакасия,2020,15000
22,Абаза,Республика Хакасия,2021,14800
23,Абакан,Республика Хакасия,1931,7700
24,Абакан,Республика Хакасия,1939,36700
25,Абакан,Республика Хакасия,1959,56400
26,Абакан,Республика Хакасия,1962,63000
27,Абакан,Республика Хакасия,1967,78000
28,Абакан,Республика Хакасия,1970,90100
29,Абакан,Республика Хакасия,1973,107000
30,Абакан,Республика Хакасия,1976,118000
31,Абакан,Республика Хакасия,1982,140000
32,Абакан,Республика Хакасия,1986,148000
33,Абакан,Республика Хакасия,1989,154100
34,Абакан,Республика Хакасия,1992,158200
35,Абакан,Республика Хакасия,1996,163100
36,Абакан,Республика Хакасия,1998,167600
37,Абакан,Республика Хакасия,2000,169200
38,Абакан,Республика Хакасия,2001,169000
39,Абакан,Республика Хакасия,2005,164700
40,Абакан,Республика Хакасия,2006,164000
41,Абакан,Республика Хакасия,2007,163100
42,Абакан,Республика Хакасия,2008,163200
43,Абакан,Республика Хакасия,2010,163600
44,Абакан,Республика Хакасия,2011,165200
