,Регион,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Белгородская область,0.7175,0.504,0.5378,0.5414,0.5992000000000001,0.8177000000000001,0.8161,0.7587999999999999,0.7669,0.7793,0.7037,0.5953999999999999,0.6631,0.6712,0.8074,0.8308,0.9388,1.064,1.1122,1.0973499999999998,1.1004,1.1482,1.2151500000000002,1.2946,1.4692,1.5549000000000002,1.3500999999999999,1.3005,1.2155,1.2604000000000002,1.1485999999999998
1,Брянская область,0.6331,0.5231,0.5725,0.4096,0.401,0.36219999999999997,0.2527,0.2535,0.26330000000000003,0.2766,0.2253,0.2369,0.2417,0.22180000000000002,0.229,0.1976,0.24630000000000002,0.2985,0.3217,0.35287,0.39089999999999997,0.4214,0.45302,0.5267999999999999,0.5507000000000001,0.6443,0.6651,0.5582999999999999,0.4031,0.4071,0.42669999999999997
2,Владимирская область,0.6289,0.4561,0.4511,0.5187999999999999,0.44010000000000005,0.3521,0.2953,0.2806,0.2858,0.2907,0.2806,0.246,0.2533,0.2794,0.32430000000000003,0.32689999999999997,0.3413,0.376,0.4194,0.45098,0.4809,0.43760000000000004,0.5077900000000001,0.5189,0.606,0.6467,0.6557000000000001,0.6954,0.6527999999999999,0.7454,0.7262000000000001
3,Воронежская область,0.9397000000000001,0.7454,0.6762999999999999,0.6538999999999999,0.5526,0.6971,0.6211,0.6211,0.5403,0.5534,0.5687000000000001,0.5846,0.6527999999999999,0.7502000000000001,0.7025,0.7844,0.8543,0.9743999999999999,1.1205,0.8877,1.0497,0.9962000000000001,1.1103699999999999,1.3487,1.5729000000000002,1.6269,1.679,1.6873,1.6910999999999998,1.8789,1.7258
4,Ивановская область,0.4988,0.3732,0.2315,0.2787,0.2857,0.2074,0.1536,0.1737,0.1273,0.16269999999999998,0.1055,0.0916,0.0987,0.1197,0.0901,0.1055,0.1794,0.142,0.1708,0.18647999999999998,0.19069999999999998,0.2166,0.22186,0.232,0.2526,0.2602,0.1768,0.3398,0.36910000000000004,0.3306,0.3332
5,Калужская область,0.5807,0.4126,0.4142,0.2836,0.36210000000000003,0.319,0.2024,0.3117,0.2007,0.225,0.1784,0.194,0.1982,0.21669999999999998,0.21480000000000002,0.2627,0.26489999999999997,0.4582,0.6315,0.45672,0.5007,0.5983999999999999,0.61278,0.6571,0.8078,0.7961,0.7373,0.8823,0.7872,0.7947000000000001,0.8192999999999999
6,Костромская область,0.36260000000000003,0.2856,0.2015,0.25,0.18769999999999998,0.16190000000000002,0.16169999999999998,0.1457,0.138,0.14880000000000002,0.1571,0.185,0.11220000000000001,0.105,0.08170000000000001,0.1167,0.1093,0.1404,0.149,0.18037999999999998,0.1514,0.1564,0.20467,0.2282,0.32830000000000004,0.32239999999999996,0.3092,0.3102,0.19690000000000002,0.21180000000000002,0.2585
7,Курская область,0.44989999999999997,0.29869999999999997,0.32130000000000003,0.26780000000000004,0.36989999999999995,0.2915,0.2534,0.161,0.22290000000000001,0.2377,0.1757,0.19269999999999998,0.1916,0.2759,0.2856,0.2975,0.3267,0.3758,0.4471,0.45615,0.3812,0.3944,0.42619,0.49610000000000004,0.5608,0.5672999999999999,0.5867,0.5905,0.5948,0.5538,0.5229
8,Липецкая область,0.575,0.4759,0.371,0.4422,0.44489999999999996,0.3404,0.307,0.2102,0.2293,0.2894,0.3212,0.38589999999999997,0.304,0.3475,0.42119999999999996,0.508,0.6207,0.705,0.7219,0.7314700000000001,0.7367999999999999,0.7617,0.80701,0.8581,1.0092,1.0605,1.0779,1.0842,0.903,1.2539,1.2318
9,Московская область,2.3799,1.7743,1.6184,1.9051,1.9701,2.3501,2.3741,2.6175,2.6132,2.7285999999999997,2.6109,2.8278000000000003,3.4148,4.1148,5.7201,5.2965,6.484,7.8052,7.8812,8.45196,7.939,8.244200000000001,6.61988,7.4065,9.944799999999999,9.623299999999999,8.9137,9.0777,8.8666,8.6135,9.040299999999998
